food_id,food_name,carbs ,protein ,fat,serving_unit ,unit_cal,weight
52,Poha (Rice Rakes),31.2,4.8,6.8,1 PI,205,45
53,Bhajke Pohe,22.1,5.9,13.9,1 PI,237,45
54,Cornflakes,25.9,6.5,17.6,1 PI,288,50
55,Potato,16,2.6,11.4,1 PI,177,30
56,Sabudana,24.5,1.9,18.7,1 PI,274,45
57,Laxmi - Narayan,23.7,6.1,30.2,1 PI,391,60
58,Bhadang,15.1,2.0,6.3,1 PI,125,25
59,Popcorns,7.3,1.0,0.2,1 PI,35,10
60,Pohe + Churmure,26.5,4.8,10.0,1 PI,215,45
61,Upma,27.7,4.2,5.5,1 PI,177,78
62,Banana,16.4,0.7,0.2,1 N,70,60
63,Coffee,18,2.8,4.3,1 C,122,120
64,Aloo Paratha,22.1,3.3,8.4,1 N,177,80
65,Lasoon  Chutney,2.3,0.6,3.7,2 S,45,10
66,Curds,1.4,1.6,2.1,1 K,31,52
67,Apple,16.2,0.2,0.6,1 N,71,120
68,Palak Paratha,20,3.6,5.5,1 N,144,50
69,Curds,1.4,1.6,2.1,1 K,31,52
70,Tomato Chutney,2.5,1.8,4.3,2 S,56,10
71,Apple,16.2,0.2,0.6,1 N,71,120
72,Puree,22.1,3.8,6.6,2 N,163,40
73,Potato Bhaji,14.3,1.0,1.3,1 K,73,78
74,Guddani,7.3,1.1,0.6,1 P`,39,8
75,Tea,10,0.8,1.0,1 C,52,100
76,Sheera,46.7,3.0,8.6,1 PI,276,108
77,Pine Apple,6.6,0.2,0.1,1 SI,28,60
78,Tea,10,0.8,1.0,1 C,52,100
79,Dosa,47.8,5.0,7.3,1 N,277,60
80,Chutney (Dry coconut),1.2,0.7,2.6,1 S,31,5
81,Papaya,3,0.3,0.1,1 SI,14,45
82,Tea,10,0.8,1.0,1 C,52,100
83,Idli,22.8,2.3,0.2,2 N,102,60
84,Sambar,11.8,3.7,2.8,1 K,87,100
85,Chiku,16.2,0.5,0.8,1 N,74,75
86,Coffee,18,2.8,4.3,1 C,122,120
87,Pohe ,45.1,4.0,2.2,1 PI,216,83
88,Milk,10.3,4.3,6.5,1 C,117,100
89,Orange,9.2,0.6,0.2,1 N,41,85
90,Medu Wada,17.6,6.6,4.6,1 N,138,42
91,Sambar,11.8,3.7,2.8,1 K,87,100
92,Mosambi,9.3,0.8,0.3,1 N,43,100
93,Coffee,18,2.8,4.3,1 C,122,120
